,title,view,channel,uploadtime,length,link,subscriber,like,dislike
89,Anthony Fauci says novel coronavirus '10 times deadlier than the flu',559K views,ABC News,3 days ago,4:16,https://www.youtube.com/watch?v=dM74KiaksgM,7.93M,"4,014",498
90,First Take reacts to Donovan Mitchell testing positive for coronavirus,2.3M views,ESPN,2 days ago,5:31,https://www.youtube.com/watch?v=33A8lbmSdPY,6.79M,"25,973","1,830"
91,We Need Leadership During Coronavirus - Between the Scenes | The Daily Show,876K views,The Daily Show with Trevor Noah,1 day ago,2:20,https://www.youtube.com/watch?v=NKMy4CSC6dg,6.61M,"26,073",387
92,BREAKING: NBA suspends season after Rudy Gobert tests positive for coronavirus | CBS Sports HQ,439K views,CBS Sports,3 days ago,8:04,https://www.youtube.com/watch?v=WfOuA-Rq_4Y,242K,"3,200",208
93,Doctor from Trump’s task force details latest on coronavirus l GMA,65K views,Good Morning America,1 day ago,6:36,https://www.youtube.com/watch?v=1aMIRdMyxaE,1.5M,514,51
94,"Coronavirus: L.A. County, city officials announce measures, health guidelines amid virus spread",48K views,KTLA 5,Streamed 2 days ago,48:20,https://www.youtube.com/watch?v=ld-8FwyY5BA,161K,225,44
95,Coronavirus Spread Threatens To Overwhelm US Hospital Capacity | Rachel Maddow | MSNBC,156K views,MSNBC,2 days ago,4:28,https://www.youtube.com/watch?v=KCOMwE92kHQ,2.45M,"1,586",92
96,Chris Hayes On How The U.S. Is On Italy's Coronavirus Trajectory | All In | MSNBC,337K views,MSNBC,3 days ago,6:34,https://www.youtube.com/watch?v=_-VxuZmEhV0,2.45M,"4,678",259
97,Trump Contradicts Experts as Coronavirus Is Declared a Pandemic: A Closer Look,2.5M views,Late Night with Seth Meyers,3 days ago,15:44,https://www.youtube.com/watch?v=7rMEA6KN_RU,3.5M,"37,657","1,862"
98,Trading Halted After Stocks Plunge Following Trump's Coronavirus Response | Velshi & Ruhle | MSNBC,162K views,MSNBC,2 days ago,4:43,https://www.youtube.com/watch?v=3gqTi3wfuqM,2.45M,"1,588",97
99,Trump to declare National Emergency amid coronavirus pandemic,781K views,Fox News,1 day ago,3:19,https://www.youtube.com/watch?v=ob5_NvJz1io,4.49M,"7,158",870
100,"Coronavirus: Virologist, Doctor and Intensive Care Consultant Discuss Latest | This Morning",216K views,This Morning,2 days ago,14:37,https://www.youtube.com/watch?v=hiXFeFMiAJc,1.67M,"1,619",198
