,title,view,channel,uploadtime,length,link,subscriber,like,dislike
105,Coronavirus in Hindi | Coronavirus Latest Update | Coronavirus Symptoms in Humans | Corona-Virus,685K views,Magnet Brains,1 week ago,16:31,https://www.youtube.com/watch?v=ECXJoqSvIys,132K,"14,075",901
106,Coronavirus: what we know so far about the outbreak spreading in China and abroad,2.6M views,South China Morning Post,1 month ago,5:27,https://www.youtube.com/watch?v=Zru5REL9ANg,920K,"15,875","1,205"
107,"ABC News Prime: Coronavirus global spread, White House response, Women's History Month",95K views,ABC News,Streamed 3 days ago,1:00:46,https://www.youtube.com/watch?v=Kh1_rS8Dodw,7.86M,996,153
108,Can we stop the panic over Coronavirus? | Inside Story,217K views,Al Jazeera English,2 days ago,24:56:00,https://www.youtube.com/watch?v=Km9jHPuHGfc,4.69M,"1,808",300
109,Our Doctors Answer Your Coronavirus Questions | This Morning,106K views,This Morning,3 days ago,10:46,https://www.youtube.com/watch?v=4-Ce9Q1CtGE,1.66M,"1,130",105
110,Q&A How to protect yourself when travelling during the coronavirus (COVID-2019) outbreak.,377K views,World Health Organization (WHO),3 weeks ago,22:45,https://www.youtube.com/watch?v=0KBvReECRrI,181K,881,286
111,Coronavirus: 55 people exposed to disease in Australia | Nine News Australia,682K views,Nine News Australia,5 days ago,9:02,https://www.youtube.com/watch?v=mHcwX2yiLkU,280K,"4,151",711
112,Britain hit by surge in coronavirus cases,999K views,Sky News,5 days ago,3:19,https://www.youtube.com/watch?v=4DdNwX9n7dw,1.86M,"5,906",527
113,Why It's Not A Time For Trump's Hunches On Coronavirus | Morning Joe | MSNBC,502K views,MSNBC,4 days ago,8:56,https://www.youtube.com/watch?v=JQjqxO7N08I,2.42M,"5,839",806
114,Coronavirus outbreak: Mother of sick daughter from virus-hit region pleads for help,3.8M views,Global News,1 month ago,3:44,https://www.youtube.com/watch?v=NytLE5ECa8M,1.21M,"27,580","1,772"
115,Coronavirus death toll climbs in US l ABC News,511K views,ABC News,5 days ago,2:46,https://www.youtube.com/watch?v=8uybFoGCzOo,7.86M,"4,361",593
