,title,view,channel,uploadtime,length,link,subscriber,like,dislike
88,Italy plans large-scale quarantine in response to coronavirus outbreak,923K views,Fox News,3 days ago,2:31,https://www.youtube.com/watch?v=6iQV02gi7fE,4.45M,"6,027",856
89,PM reacts to UK's first coronavirus-related death,653K views,Sky News,5 days ago,2:35,https://www.youtube.com/watch?v=AtfGK1eImRo,1.87M,"4,726",801
90,Italy's coronavirus outbreak sparks 'a lot of panic,25K views,PBS NewsHour,2 days ago,5:30,https://www.youtube.com/watch?v=e4fJ_F0urwk,1.67M,335,26
91,Coronavirus: doctors and nurses in Iran filmed dancing in bid to boost morale,156K views,Guardian News,6 days ago,0:45,https://www.youtube.com/watch?v=wamoQYVI0ww,843K,"1,179",147
92,Dangers From Coronavirus Beyond The Politics Of The Hour | Morning Joe | MSNBC,549K views,MSNBC,1 day ago,16:57,https://www.youtube.com/watch?v=rEWmnxWBvj0,2.42M,"6,515",598
93,Novel coronavirus (2019-nCoV),2M views,World Health Organization (WHO),1 month ago,4:49,https://www.youtube.com/watch?v=mOV1aBVYKGA,183K,"10,141",594
94,Worried about the coronavirus? See this patient's advice,760K views,CNN,3 days ago,5:08,https://www.youtube.com/watch?v=_O0IbLsZ3wA,8.72M,"5,453",945
95,"Coronavirus Symptoms, Diagnosis, Treatment, & Vaccine Status",1M views,MedCram - Medical Lectures Explained CLEARLY,1 month ago,4:33,https://www.youtube.com/watch?v=UCG3xqtcL3c,577K,"10,953",464
96,Briton who contracted coronavirus in Wuhan explains symptoms,198K views,Guardian News,4 days ago,1:50,https://www.youtube.com/watch?v=PU2ut5Ark3Q,843K,"1,441",178
97,Italy quarantines 16 million over coronavirus,138K views,Al Jazeera English,2 days ago,2:14,https://www.youtube.com/watch?v=gRrjLwzyTLs,4.69M,"1,038",53
98,Coronavirus in Hindi | Coronavirus Latest Update | Coronavirus Symptoms in Humans | Corona-Virus,719K views,Magnet Brains,1 week ago,16:31,https://www.youtube.com/watch?v=ECXJoqSvIys,133K,"14,477",935
99,Gov. Cuomo Updates on Coronavirus in NY,37K views,NBC New York,Streamed 2 days ago,28:11,https://www.youtube.com/watch?v=wmNI0atk-7Y,108K,294,81
100,Watch live: Gov. Cuomo holds coronavirus press briefing,137K views,NBC News,Streamed 3 days ago,44:49,https://www.youtube.com/watch?v=x-ioSQSkfec,1.96M,"1,088",207
101,Coronavirus Patient Explains The Worst Symptoms | NBC News,954K views,NBC News,5 days ago,3:18,https://www.youtube.com/watch?v=NLGX2L9JLa8,1.96M,"8,853",481
102,Full Hogan: 'This Thing Is Escalating So Rapidly' As Coronavirus Spreads | Meet The Press | NBC News,86K views,NBC News,2 days ago,5:12,https://www.youtube.com/watch?v=y0Ge96Q3xR4,1.96M,738,176
103,Coronavirus: China combats ever-strengthening disease,2.7M views,The Telegraph,1 month ago,1:44,https://www.youtube.com/watch?v=P6t3SxhvRuE,929K,"10,076",882
104,Iran MP dies from coronavirus as total toll spikes,202K views,Al Jazeera English,3 days ago,3:09,https://www.youtube.com/watch?v=C7aAs28KPEE,4.69M,"1,651",103
105,SE Cupp: This is why we're panicked about coronavirus,480K views,CNN,3 days ago,7:55,https://www.youtube.com/watch?v=s_ypH6Bk-oY,8.72M,"5,720","2,875"
106,Doctor shares CDC's latest coronavirus warnings,538K views,CBS This Morning,3 days ago,4:40,https://www.youtube.com/watch?v=0WeSAuoYsOQ,1.23M,"5,773",477
107,How the Coronavirus Spread across Europe (Since January),370K views,WawamuStats,1 day ago,2:41,https://www.youtube.com/watch?v=k99tGBPGI9I,235K,"6,635",192
