,title,view,channel,uploadtime,length,link,subscriber,like,dislike,clean_text
134,The potential problems with stockpiling for coronavirus outbreak,64000,CBC News: The National,120,118,https://www.youtube.com/watch?v=CiIwOo0nXAQ,660000,443,164,potential problem stockpiling coronavirus outbreak
135,Sadhguru on Coronavirus Outbreak in China,2100000,Sadhguru,672,505,https://www.youtube.com/watch?v=mP-mCfo4-f8,4430000,48335,2840,sadhguru coronavirus outbreak china
136,What is the coronavirus?,8100000,Guardian News,720,221,https://www.youtube.com/watch?v=aerq4byr7ps,842000,168391,3958,coronavirus
137,Coronavirus updates for Friday March 6 - noon,34000,KING 5,72,408,https://www.youtube.com/watch?v=T-9vqfzYWE4,80000,221,16,coronavirus update friday march noon
138,Coronavirus Q&A: Expert answers your questions on Covid-19,245000,Channel 4 News,120,86640,https://www.youtube.com/watch?v=9plB00gdlkk,1130000,2196,290,coronavirus qa expert answer question covid
139,Coronavirus: Das wissen wir über Covid-19 | Quarks Extra,219000,Quarks,48,1041,https://www.youtube.com/watch?v=WReBrwIllao,350000,4835,316,coronavirus da wissen wir ber covid quark extra
140,Coronavirus: Is Britain Ready? | Documentary,994000,Channel 4 News,504,89640,https://www.youtube.com/watch?v=ZBOwFBu05c8,1130000,6999,746,coronavirus britain ready documentary
141,Trump says he will not stop campaign rallies over coronavirus,155000,CBS This Morning,48,175,https://www.youtube.com/watch?v=t1PzqP-oolc,1230000,1080,501,trump say stop campaign rally coronavirus
142,China Is Censoring Coronavirus Stories. These Citizens Are Fighting Back. | NYT News,1200000,The New York Times,336,249,https://www.youtube.com/watch?v=m5fsidSOJMw,2540000,23722,1300,china censoring coronavirus story citizen fighting back nyt news
143,"Coronavirus outbreak: President Donald Trump confirms 1st death in U.S., talks virus response",641000,Global News,168,188400,https://www.youtube.com/watch?v=Cn9AZKmuMZI,1210000,5792,2135,coronavirus outbreak president donald trump confirms st death u talk virus response
144,CDC warns coronavirus outbreak will worsen,710000,ABC News,168,265,https://www.youtube.com/watch?v=byU_N9iHBFY,7860000,6563,466,cdc warns coronavirus outbreak worsen
145,Get the facts on coronavirus,2700000,CBC News,720,310,https://www.youtube.com/watch?v=kIL5m5XznNY,1850000,36684,1521,get fact coronavirus
146,Coronavirus explained,271000,CNET,168,363,https://www.youtube.com/watch?v=hZDX08RcPmg,2540000,3435,353,coronavirus explained
147,"China Says Coronavirus Cases Rise to 70,548, Deaths Hit 1,770",1000000,Bloomberg Markets and Finance,504,404,https://www.youtube.com/watch?v=yWhYloc7164,557000,4415,694,china say coronavirus case rise death hit
148,Coronavirus: First children infected in Italy - BBC News,998000,BBC News,168,470,https://www.youtube.com/watch?v=i0ShJruunDE,6530000,7836,534,coronavirus first child infected italy bbc news
149,"Coronavirus: World must prepare for pandemic, says WHO - BBC News",1900000,BBC News,336,814,https://www.youtube.com/watch?v=UcxHL8LHI_A,6530000,17979,1528,coronavirus world must prepare pandemic say bbc news
